satellite_id,name,country_operator,orbit_class,orbit_type,perigee_km,apogee_km,altitude_mean_km,eccentricity,inclination_deg,period_min,launch_mass_kg,launch_date,expected_lifetime_yrs,launch_site,launch_vehicle,norad_number,cospar_number,orbit_shell,launch_year
674,Starlink-1731 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-18,4.0,Cape Canaveral,Falcon 9,46676.0,2020-073G,Shell-1 (400–600 km),2020
675,Starlink-1732 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46584.0,2020-070BE,Shell-1 (400–600 km),2020
676,Starlink-1733 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46564.0,2020-070AJ,Shell-1 (400–600 km),2020
677,Starlink-1734,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46325.0,2020-062A,Shell-1 (400–600 km),2020
678,Starlink-1735 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46565.0,2020-070AK,Shell-1 (400–600 km),2020
679,Starlink-1736 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46585.0,2020-070BF,Shell-1 (400–600 km),2020
680,Starlink-1737 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46586.0,2020-070BG,Shell-1 (400–600 km),2020
681,Starlink-1738 ,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46336.0,2020-062M,Shell-1 (400–600 km),2020
682,Starlink-1739,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46363.0,2020-062AQ,Shell-1 (400–600 km),2020
683,Starlink-1740 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46566.0,2020-070AL,Shell-1 (400–600 km),2020
684,Starlink-1741 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46567.0,2020-070AM,Shell-1 (400–600 km),2020
685,Starlink-1742,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46376.0,2020-062BD,Shell-1 (400–600 km),2020
686,Starlink-1743 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46568.0,2020-070AN,Shell-1 (400–600 km),2020
687,Starlink-1744 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46587.0,2020-070BH,Shell-1 (400–600 km),2020
688,Starlink-1745,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46377.0,2020-062BE,Shell-1 (400–600 km),2020
689,Starlink-1746 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46588.0,2020-070BJ,Shell-1 (400–600 km),2020
690,Starlink-1747 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46569.0,2020-070AP,Shell-1 (400–600 km),2020
691,Starlink-1748 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46570.0,2020-070AQ,Shell-1 (400–600 km),2020
692,Starlink-1749 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46589.0,2020-070BK,Shell-1 (400–600 km),2020
693,Starlink-1750,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46337.0,2020-062N,Shell-1 (400–600 km),2020
694,Starlink-1751 ,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46378.0,2020-062BF,Shell-1 (400–600 km),2020
695,Starlink-1752,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46338.0,2020-062P,Shell-1 (400–600 km),2020
